songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hero/Heroine,Boys Like Girls,0.422,0.904,0,-4.531,1,0.102,0.02,4.49e-06,0.686,0.32,163.929,audio_features,1AnesEZjtNHT7Nr2Y4BuNR,spotify:track:1AnesEZjtNHT7Nr2Y4BuNR,https://api.spotify.com/v1/tracks/1AnesEZjtNHT7Nr2Y4BuNR,https://api.spotify.com/v1/audio-analysis/1AnesEZjtNHT7Nr2Y4BuNR,232240,4
Got A Love For You,Jomanda,0.708,0.604,6,-13.591,0,0.0437,4.18e-05,0.639,0.0489,0.632,119.9,audio_features,6p8i9A3hkXzgk5DMcJyEWg,spotify:track:6p8i9A3hkXzgk5DMcJyEWg,https://api.spotify.com/v1/tracks/6p8i9A3hkXzgk5DMcJyEWg,https://api.spotify.com/v1/audio-analysis/6p8i9A3hkXzgk5DMcJyEWg,454960,4
Ain t Nobody,Rufus And Chaka Khan,0.696,0.57,0,-9.084,1,0.557,0.673,3.02e-06,0.098,0.329,76.976,audio_features,6VnqGxiMNexOe0kRmIsBw4,spotify:track:6VnqGxiMNexOe0kRmIsBw4,https://api.spotify.com/v1/tracks/6VnqGxiMNexOe0kRmIsBw4,https://api.spotify.com/v1/audio-analysis/6VnqGxiMNexOe0kRmIsBw4,189231,4
Travelin' Band,Creedence Clearwater Revival,0.513,0.92,6,-6.664,1,0.0511,0.0166,0.0282,0.178,0.963,166.186,audio_features,0INUNNYfsp4qr6kJdY46mY,spotify:track:0INUNNYfsp4qr6kJdY46mY,https://api.spotify.com/v1/tracks/0INUNNYfsp4qr6kJdY46mY,https://api.spotify.com/v1/audio-analysis/0INUNNYfsp4qr6kJdY46mY,127493,4
Ten Little Indians,The Beach Boys,0.512,0.558,2,-7.165,1,0.0459,0.655,0,0.134,0.531,140.128,audio_features,2t7uCkTplCSYZHFfM9aZ5i,spotify:track:2t7uCkTplCSYZHFfM9aZ5i,https://api.spotify.com/v1/tracks/2t7uCkTplCSYZHFfM9aZ5i,https://api.spotify.com/v1/audio-analysis/2t7uCkTplCSYZHFfM9aZ5i,126878,4
Lonely Is The Name,"Sammy Davis, Jr.",0.43,0.743,8,-8.079,0,0.03,0.000402,0.146,0.0774,0.51,110.481,audio_features,2GSOOR5UXdDj9247nxyedO,spotify:track:2GSOOR5UXdDj9247nxyedO,https://api.spotify.com/v1/tracks/2GSOOR5UXdDj9247nxyedO,https://api.spotify.com/v1/audio-analysis/2GSOOR5UXdDj9247nxyedO,351227,4
3rd Man Theme,Herb Alpert,0.554,0.677,4,-10.831,0,0.0722,0.426,0.963,0.184,0.768,153.175,audio_features,0AvpHaiMxWRbj1tPVY2zgY,spotify:track:0AvpHaiMxWRbj1tPVY2zgY,https://api.spotify.com/v1/tracks/0AvpHaiMxWRbj1tPVY2zgY,https://api.spotify.com/v1/audio-analysis/0AvpHaiMxWRbj1tPVY2zgY,153973,4
She'll Be There,Vikki Carr,0.471,0.227,11,-14.593,1,0.0356,0.376,1.98e-05,0.251,0.33,96.744,audio_features,2KukEvIw9uzm5rbfvtAsae,spotify:track:2KukEvIw9uzm5rbfvtAsae,https://api.spotify.com/v1/tracks/2KukEvIw9uzm5rbfvtAsae,https://api.spotify.com/v1/audio-analysis/2KukEvIw9uzm5rbfvtAsae,155667,4
Scent Of Attraction,Patra Duet With Aaron Hall,0.655,0.78,11,-5.013,0,0.155,0.284,0,0.381,0.724,82.988,audio_features,6h5CkfyFR5bLcxK6eWIQkl,spotify:track:6h5CkfyFR5bLcxK6eWIQkl,https://api.spotify.com/v1/tracks/6h5CkfyFR5bLcxK6eWIQkl,https://api.spotify.com/v1/audio-analysis/6h5CkfyFR5bLcxK6eWIQkl,286933,4
You're The One For Me,Joe Simon,0.7,0.573,3,-8.064,1,0.0358,0.243,0.729,0.202,0.241,107.009,audio_features,5T2iobXGYEI9TdrJ4Du6QN,spotify:track:5T2iobXGYEI9TdrJ4Du6QN,https://api.spotify.com/v1/tracks/5T2iobXGYEI9TdrJ4Du6QN,https://api.spotify.com/v1/audio-analysis/5T2iobXGYEI9TdrJ4Du6QN,270000,4
